	reactant	product	byproduct	reagent	solvent	catalyst	yield
0	Cl.Cl.CC(C)(C)OC(=O)c1ccc(CC(=O)NCc2ccc(C(=O)Oc3ccc4cc(C(=N)N)ccc4c3)o2)cc1	Cl.N=C(N)c1ccc2cc(OC(=O)c3ccc(CNC(=O)Cc4ccc(C(=O)O)cc4)o3)ccc2c1	CC(C)(C)O	O.CC(=O)O	empty	empty	0.0
1	COC(=O)C(OC)Oc1ccc2ccc(OS(=O)(=O)C(F)(F)F)cc2c1.C#C[Si](C)(C)C	COC(=O)C(OC)Oc1ccc2ccc(C#C[Si](C)(C)C)cc2c1	COC(=O)C(OC)Oc1ccc2ccc(OS(=O)(=O)C(F)(F)C#C[Si](C)(C)C)cc2c1Cl[Cu]F[Cu]IO=S(=O)(O[Pd](Cl)P(c1ccccc1)(c1ccccc1)c1ccccc1)C(F)(F)Fc1ccc(P(c2ccccc2)c2ccccc2)cc1	Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1.CCN(CC)CC.C1CCOC1.N#N.[Cu]I	empty	empty	0.0
2	CCCC(C(=O)OC)C(c1ccccc1)c1ccc2c(cnn2-c2ccc(F)cc2)c1	CCCC(C(=O)O)C(c1ccccc1)c1ccc2c(cnn2-c2ccc(F)cc2)c1	CO[Na+]	CO.CS(C)=O.O[Na]	empty	empty	0.0
3	CCC(C)CC(=O)Cl.CC(C)(C)[Mg]Cl	CCC(C)CC(=O)C(C)(C)C	[Cl-][Mg+]Cl	CCCC(=O)C(C)(C)CC.CCOCC.Cl[Cu]	empty	empty	0.0
4	CC(Cl)C(=O)Cl.Fc1cccc(F)c1	CC(Cl)C(=O)c1ccc(F)cc1F	CC(Cl)C(=O)c1c(F)cccc1FCC(Cl)C(=O)c1cc(F)cc(F)c1Cl	O.Cl.ClCCCl.Cl[Al](Cl)Cl	empty	empty	0.0
5	CCOC(=O)C(=O)C(F)(F)F.Cc1cc(Br)cc([Mg]Br)c1	CCOC(=O)C(O)(c1cc(C)cc(Br)c1)C(F)(F)F	Cc1c[c-]cc(Br)c1[Mg+]Br		empty	empty	0.0
6	CC(C)SCC1CN(C(=O)OC(C)(C)C)C1	CC(C)S(=O)(=O)CC1CN(C(=O)OC(C)(C)C)C1	OS(=O)(=O)O[K]OS(=O)(=O)O[K][K+][K+]	O=S(=O)(O[K])OO[K].O=S(=O)(O[K])OO[K].O=S(=O)(O)O[K].O=S(O[Na])O[Na].O=S(=O)(O)O	empty	empty	0.0
7	Oc1ccc(OCc2ccccc2)cc1.CC(C)C(=O)Cl	CC(C)C(=O)Oc1ccc(OCc2ccccc2)cc1	[Cl-]	c1ccncc1.c1ccncc1.CCOCC.O[K].O.Cl	empty	empty	0.0
8	CON(C)C(=O)Cc1ccc(Cl)cc1Cl.C[Mg]Br	CC(=O)Cc1ccc(Cl)cc1Cl	CNOC[Mg+]Br	Cc1ccccc1.C1CCOC1.C1CCOC1	empty	empty	0.0
9	CC(C)(C)OC(=O)n1c(-c2cc(S(=O)(=O)Cl)ccc2N2CCCC2)cc2ccccc21.CNCCN1CCOCC1	CN(CCN1CCOCC1)S(=O)(=O)c1ccc(N2CCCC2)c(-c2cc3ccccc3n2C(=O)OC(C)(C)C)c1	[Cl-]	ClCCl	empty	empty	0.0
10	CCOC(=O)CC(c1ccc(C)c(CO)c1)c1ccc2c(nnn2C)c1C.O=S1(=O)NCCOc2ccncc21	CCOC(=O)CC(c1ccc(C)c(CN2CCOc3ccncc3S2(=O)=O)c1)c1ccc2c(nnn2C)c1C	CCCCP(=O)(CCCC)CCCCO=C(NNC(=O)N1CCCCC1)N1CCCCC1	O=C(N=NC(=O)N1CCCCC1)N1CCCCC1.CCCCP(CCCC)CCCC.C1CCOC1	empty	empty	0.0
11	CC12CCC(c3c1[nH]n(-c1ccccc1F)c3=O)C2(C)C.CCCI	CCCn1c2c(c(=O)n1-c1ccccc1F)C1CCC2(C)C1(C)C	[I-]		empty	empty	0.0
12	Cc1ccc(C)c2c(C(C)C)cc(O)nc12.O=P(Cl)(Cl)Cl	Cc1ccc(C)c2c(C(C)C)cc(Cl)nc12	O=P(=O)Cl[Cl-]	Cc1ccccc1	empty	empty	0.0
13	CC(=O)OI1(OC(C)=O)(OC(C)=O)OC(=O)c2ccccc21.O=C(C1CCC(O)c2nn(Cc3ccc(C(F)(F)F)nc3)c(=O)n21)N1CCC(F)C1	O=C1CCC(C(=O)N2CCC(F)C2)n2c1nn(Cc1ccc(C(F)(F)F)nc1)c2=O	CC(=O)OCC(=O)OI1OC(=O)c2ccccc-21CC(=O)[O-]		empty	empty	0.0
14	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.COc1ncnc(OC)c1I	COc1ncnc(OC)c1B1OC(C)(C)C(C)(C)O1	CC1(C)OB(Cl)OC1(C)CCC1(C)OB(I)OC1(C)CCl[Pd]I	C1=CC([Fe]C2(P(c3ccccc3)c3ccccc3)C=CC=C2)(P(c2ccccc2)c2ccccc2)C=C1.C1COCCO1.CC(=O)O[K].Cl[Pd]Cl	empty	empty	0.0
15	CC(C)(C)c1sc2ncnc(Cl)c2c1-c1ccc(Cl)c(Cl)c1.Oc1ccccc1OC(F)(F)F	CC(C)(C)c1sc2ncnc(Oc3ccccc3OC(F)(F)F)c2c1-c1ccc(Cl)c(Cl)c1	[Cl-]	O=S(=O)(O)O[K].CN(C)C=O.[NaH]	empty	empty	0.0
16	CCc1nc2ncc(C(F)(F)F)cn2c1C(=O)c1ccc(O)c(C(F)(F)F)c1.O=C1CCC(=O)N1Br	CCc1nc2ncc(C(F)(F)F)cn2c1C(=O)c1cc(Br)c(O)c(C(F)(F)F)c1	O=C1CCC(=O)N1	CN(C)C=O	empty	empty	0.0
17	CCOC(=O)c1c(C)nc2c(OCc3c(F)ccc(OC)c3F)cc(C)cn12	COc1ccc(F)c(COc2cc(C)cn3c(C(=O)O)c(C)nc23)c1F	CCO[Na+]	O.O[Na].C1COCCO1	empty	empty	0.0
18	Br.CC(Nc1nccc(-n2cnc3ccccc32)n1)C1CN(C(=O)Nc2cccc3ccccc23)CCN1C(=O)OCc1ccccc1	CC(Nc1nccc(-n2cnc3ccccc32)n1)C1CN(C(=O)Nc2cccc3ccccc23)CCN1	BrCc1ccccc1O=C=O		empty	empty	0.0
19	O=[N+]([O-])c1ccccc1S(=O)(=O)N(Cc1ccc(CO)cc1)Cc1ccccn1.CS(=O)(=O)Cl	CS(=O)(=O)OCc1ccc(CN(Cc2ccccn2)S(=O)(=O)c2ccccc2[N+](=O)[O-])cc1	[Cl-]	CCN(CC)CC.O=C(O)O[Na].ClCCl	empty	empty	0.0
20	CCO.Cc1ccc2c(C(=O)O)cccc2n1	CCOC(=O)c1cccc2nc(C)ccc12	O	O=S(=O)(O)O.ClCCl	empty	empty	0.0
21	CC1(C)c2ccccc2-c2cc3c(cc21)[nH]c1ccc(-c2ccc4c(c2)c2cc5c(cc2n4-c2ccccc2)oc2ccccc25)cc13.Brc1ccccc1	CC1(C)c2ccccc2-c2cc3c4cc(-c5ccc6c(c5)c5cc7c(cc5n6-c5ccccc5)oc5ccccc57)ccc4n(-c4ccccc4)c3cc21	CC(C)(C)O[Br-][Na+]	O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.CC(C)(C)P(C(C)(C)C)C(C)(C)C.Cc1ccccc1C.CC(C)(C)O[Na].[Pd].[Pd]	empty	empty	0.0
22	COc1c(O)ccc2c(=O)cc(-c3ccc(CCCCO)cc3)oc12.O=S(Br)Br	COc1c(O)ccc2c(=O)cc(-c3ccc(CCCCBr)cc3)oc12	O=S([O-])Br	CN(C)C=O.ClCCl	empty	empty	0.0
23	CN(C)CCCOc1cc(N)c(C#N)c(F)c1.O=C1CCC(=O)N1I	CN(C)CCCOc1cc(N)c(C#N)c(F)c1I	O=C1CCC(=O)N1	CC(=O)O	empty	empty	0.0
24	CO.CC(c1cc(C(=O)O)cc2c(=O)cc(N3CCOCC3)oc12)N(C)c1cc(F)cc(F)c1	COC(=O)c1cc(C(C)N(C)c2cc(F)cc(F)c2)c2oc(N3CCOCC3)cc(=O)c2c1	O	COC(=O)c1cc(C(C)Br)c2oc(N3CCOCC3)cc(=O)c2c1.CNc1cc(F)cc(F)c1.[K]I	empty	empty	0.0
25	COC(=O)c1nc(I)c(NC(=O)OC(C)(C)C)s1.C#Cc1cn2ncnc2c(C)c1C	COC(=O)c1nc(C#Cc2cn3ncnc3c(C)c2C)c(NC(=O)OC(C)(C)C)s1	Cl[Cu]Cl[Pd]II[Cu]I	c1ccc(P(c2ccccc2)c2ccccc2)cc1.CCN(C(C)C)C(C)C.Cc1ccccc1.[Cu]I	empty	empty	0.0
26	CC(C)(Cc1ccccc1)C(=O)C=CI.[BH4-]	CC(C)(Cc1ccccc1)C(O)C=CI	B		empty	empty	0.0
27	CI.COC(=O)CC1NC(=O)c2cc(OCc3cccc(-c4ccc(Cl)cc4C)c3)ccc21	COC(=O)CC1c2ccc(OCc3cccc(-c4ccc(Cl)cc4C)c3)cc2C(=O)N1C	[I-]		empty	empty	0.0
28	COc1ccc2c(Nc3c(Cl)cncc3Cl)cc(=O)n(CCO)c2c1OC1CCCC1	COc1ccc2c(Nc3c(Cl)cncc3Cl)cc(=O)n(CC=O)c2c1OC1CCCC1	CC(=O)OCC(=O)OI1OC(=O)c2ccccc-21CC(=O)[O-]	CC(=O)OI1(OC(C)=O)(OC(C)=O)OC(=O)c2ccccc21	empty	empty	0.0
29	COC(=O)C1CN(C(=O)OC(C)(C)C)CCC1=O.C1CNC1	COC(=O)C1CN(C(=O)OC(C)(C)C)CCC1N1CCC1	CC(=O)OB(OC(C)=O)OC(C)=OO	CC(=O)O[BH-](OC(C)=O)OC(C)=O.ClCCCl.O.[Na+]	empty	empty	0.0
30	CN1CC(=O)N(C)C(C)(Cc2ccccc2)C1=O.Clc1cccc(CBr)c1Cl	CN1C(=O)C(C)(Cc2ccccc2)N(C)C(=O)C1Cc1cccc(Cl)c1Cl	[Br-]	O.CN(C)C=O.[NaH]	empty	empty	0.0
31	CCS(=O)(=O)c1ccc(-c2cc(OS(=O)(=O)C(F)(F)F)ccc2F)c(C#N)c1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C	CCS(=O)(=O)c1ccc(-c2cc(B3OC(C)(C)C(C)(C)O3)ccc2F)c(C#N)c1	CC1(C)OB(Cl)OC1(C)CCC1(C)OB(OS(=O)(=O)C(F)(F)F)OC1(C)CO=S(=O)(O[Pd]Cl)C(F)(F)F	C1COCCO1.CC(=O)O[K].N#N	empty	empty	0.0
32	Nc1c(C(=O)O)ccc(Br)c1F.O=C1CCC(=O)N1Cl	Nc1c(C(=O)O)cc(Cl)c(Br)c1F	O=C1CCC(=O)N1	CN(C)C=O	empty	empty	0.0
33	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.Cc1cc(-c2ccccc2)nc2cc(Cl)ccc12	Cc1cc(-c2ccccc2)nc2cc(B3OC(C)(C)C(C)(C)O3)ccc12	CC1(C)OB(Cl)OC1(C)C	CCCc1cccc(CCC)c1-n1cc[n+](-c2c(CCC)cccc2CCC)c1.CC(=O)O[Pd]OC(C)=O.CC(=O)O[K].C1CCOC1.[Cl-]	empty	empty	0.0
